ILS,토4,스포츠,축구,"축구를 통해 공부 스트레스를 싹 날려버리고, 선후배+학우관계의 결속력을 다집니다."
LOD,목8,퍼포먼스,댄스,현대청운고 유일무이 댄스동아리
MEME,목7,메디컬,의학,"의사를 꿈꾸는 23기, 교내 최고 동아리로 들어와!"
DELL,목8,퍼포먼스,밴드,"밴드 동아리로, 함께 곡을 연습하여 무대에 섭니다."
매치포인트,목8,스포츠,체육,스트레스를 풀기 위해 배드민턴을 칩니다.
GeNiUS,목7,과학,화학,다양한 화학 관련 실험과 탐구를 진행합니다.
SIN,목7,과학,융합과학,화학과 생명과학을 중심으로 실험 및 탐구를 진행하는 융합과학 동아리입니다.
INTERPOL,목7,사회,정치 외교 경제 경영,"교내 유일의 진짜 문과 동아리, 정치외교경제경영 모든 분야의 탐구와 활동을 진행합니다."
글애돝,목7,???,문예 편집,“우리가 쓰는 글은 항상 빛이 난다.” 빛바랜 추억을 빛나는 글로 담아내는 우리들의 이야기.
RCY,토4,봉사,봉사,"지원자 수 1위의 교내 최대 규모 봉사동아리로, 입학 설명회나 헌혈 행사를 담당합니다."
라포르,목7,???,심리학,"심리학과 다양한 학문을 융합하여 탐구하고 대규모 심리 실험을 진행하는 인간에 의한, 인간을 위한 동아리입니다."
CUBE,목7,과학,생명과학,"One and Only, Only for CUBE. 교내 근본 생명과학 동아리, 오직 CUBE만을 위해 준비된 활동."
하늘바라기,토4,특별활동,천체 관측,"천체 망원경을 이용해 달과 별 등 다양한 천체들을 관측하고, 친목을 도모합니다."
HCUtube,목8,창작,영상 제작,"가장 인기 있는 플랫폼인 유튜브로 현대청운고에서 일어나는 재미있는 행사와 일들을 영상화하고, 이로써 현대청운고의 홍보 역할을 합니다."
아리솔,목8,특별활동,도서관 관리,"교내 유일 도서관 동아리로써, 도서 서고를 정리하고 대출 및 반납을 담당합니다."
쇼군,목8,퍼포먼스,"랩, 힙합",교내 최고의 힙합 동아리
SAMDI,목7,공학,공학,"프로그래밍, 메타버스 제작뿐만 아니라 당신이 원하는 모든 공학을 할 수 있는 동아리, 삼디입니다."
동물의 숲,목7,???,"생명과학, 수의학","생명과학, 수의학과 관련된 여러 과학 실험들과 심화 주제 탐구 활동을 합니다."
DIXIT,토4,???,언어 및 언어학,여러 언어에 대해 탐구하고 언어 과목 세특 제작에 도움을 주는 광기에 찬 선배들이 기다리는 동아리입니다.
BLUECROSS,토4,봉사,의료봉사,의료 관련 포스터 제작 및 캠페인 진행을 통해 교내 봉사와 더불어 의료 지식을 전달하는 동아리입니다.
COEX (코엑스),토4,특별활동,환경동물,학교 텃밭 관리 및 자연친화적인 방법을 통해 자연과 공존할 수 있는 방안을 도모합니다.
시나브로,목7,과학,생명과학&화학,"생명과학과 화학을 탐구하고, 다른 학문과의 연계를 통해 특별한 생기부 제작을 도와드립니다."
Palette,목8,창작,미술,"여기는 개성의 색을 전시해둔 미술관, Palette입니다."
